,run_id,N,p,k,num_edges,edge_list,num_solutions_m,compiler_success,error_message,compilation_time,time_xag_optimize,time_xag_synthesis,time_parity_decomp,time_linear_resynth,oracle_num_qubits,oracle_depth,oracle_size,oracle_cx_count,oracle_1q_count
100,101,4,0.4,2,4,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0]",5,True,None,1.2648546695709229,0.0019562244415283203,2.2649765014648438e-05,5.7220458984375e-06,1.4066696166992188e-05,7,40,57,27,30
101,102,4,0.4,2,4,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]",5,True,None,1.669477939605713,0.0018956661224365234,2.1696090698242188e-05,5.9604644775390625e-06,1.3113021850585938e-05,7,40,52,27,25
102,103,4,0.4,2,3,"[0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",3,True,None,1.4956576824188232,0.006519317626953125,2.1696090698242188e-05,6.4373016357421875e-06,9.5367431640625e-06,7,26,31,14,17
103,104,4,0.4,2,3,"[0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",3,True,None,1.9820947647094727,0.001058816909790039,2.193450927734375e-05,6.4373016357421875e-06,1.239776611328125e-05,7,24,34,17,17
104,105,4,0.4,2,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",1,True,None,1.5952982902526855,0.0013494491577148438,2.5272369384765625e-05,5.7220458984375e-06,3.0994415283203125e-06,7,12,33,8,25
105,106,4,0.4,2,3,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",3,True,None,1.6642906665802002,0.0009386539459228516,2.1457672119140625e-05,6.198883056640625e-06,1.1682510375976562e-05,7,24,37,12,25
106,107,4,0.4,2,2,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",2,True,None,1.5479836463928223,0.0008223056793212891,2.193450927734375e-05,5.7220458984375e-06,8.344650268554688e-06,6,12,19,6,13
107,108,4,0.4,2,4,"[0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]",5,True,None,1.3847284317016602,0.0008614063262939453,2.3603439331054688e-05,5.4836273193359375e-06,1.3828277587890625e-05,7,45,59,29,30
108,109,4,0.4,2,3,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]",3,True,None,1.6130237579345703,0.0008444786071777344,2.09808349609375e-05,5.7220458984375e-06,1.049041748046875e-05,7,23,37,12,25
109,110,4,0.4,2,2,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",2,True,None,1.4410438537597656,0.00078582763671875,2.09808349609375e-05,5.7220458984375e-06,8.58306884765625e-06,6,13,21,6,15
110,111,4,0.5,2,3,"[0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",3,True,None,1.572359323501587,0.0009446144104003906,2.1696090698242188e-05,5.9604644775390625e-06,1.0728836059570312e-05,7,24,37,12,25
111,112,4,0.5,2,3,"[0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",3,True,None,1.8209915161132812,0.0062143802642822266,2.7179718017578125e-05,6.9141387939453125e-06,1.0013580322265625e-05,7,26,31,14,17
